,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,97,83,59,60,54
2,3,4,5,7,8,9,10,11,12,13,14,15,16,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,40,41,42,43,44,45,46,47,97,83,59,60,54,58,51,79,98,69
3,3,4,7,8,9,10,12,13,14,15,16,19,20,21,22,23,24,25,26,27,28,29,30,32,35,36,38,40,41,42,43,44,45,46,47,97,83,59,60,54,58,51,79,98,69,17,93,39,67,6
4,3,4,7,8,9,10,12,13,14,15,16,19,20,21,22,23,24,25,26,27,29,30,32,35,36,38,40,43,44,46,47,97,83,59,60,54,58,51,79,98,17,93,39,67,6,84,33,68,52,86
5,3,4,8,9,10,12,13,14,15,16,20,21,22,23,24,26,27,29,30,32,35,36,40,43,44,46,47,97,83,59,60,54,58,51,79,98,17,39,67,6,84,33,68,52,86,0,66,41,78,18
6,3,4,8,9,10,12,13,14,15,16,20,22,23,24,26,27,29,32,35,36,40,43,44,46,97,83,59,60,54,51,79,17,39,67,6,84,33,68,52,86,0,66,41,78,18,28,70,56,89,49
7,3,4,8,9,10,12,13,14,15,20,22,23,24,26,27,29,32,35,40,43,44,46,97,83,59,60,54,51,79,17,39,67,84,33,68,86,0,66,41,78,28,70,56,89,49,71,81,57,91,45
8,3,8,9,10,12,13,14,15,20,22,23,24,27,29,32,35,43,44,46,97,83,59,60,54,51,79,17,84,33,68,86,0,66,41,78,28,70,56,89,49,71,81,57,91,45,88,18,31,36,52
9,3,8,9,12,13,15,20,22,24,27,29,32,35,43,44,46,83,59,60,54,51,79,17,84,33,68,0,66,41,78,28,70,56,89,49,71,81,57,91,45,88,18,31,36,52,69,11,1,16,90
10,3,8,9,12,15,20,22,24,27,29,32,35,43,44,46,83,59,60,54,51,79,33,68,0,66,41,78,28,70,56,89,49,71,81,57,91,45,88,18,36,52,69,11,1,90,73,55,7,95,87
